x,y,Density,Momentum_x,Momentum_y,Energy,Pressure,Temperature,Mach,C<sub>p</sub>,Roe_Dissipation,
-1.96667,-0.026973,1.22526,41.1135,-1.74881e-05,254052,101345,288.14,0.0986064,0.0281691,0,
-1.96667,-0.0237997,1.22526,41.1135,-1.3123e-05,254052,101345,288.14,0.0986064,0.0281679,0,
-1.96667,-0.0206264,1.22526,41.1135,-8.07115e-06,254052,101345,288.14,0.0986064,0.0281681,0,
-1.96667,-0.0174531,1.22526,41.1135,-4.81983e-06,254052,101345,288.14,0.0986064,0.0281691,0,
-1.96667,-0.0142798,1.22526,41.1135,-1.63808e-06,254052,101345,288.14,0.0986063,0.0281702,0,
-1.96667,-0.0111065,1.22526,41.1135,1.54367e-06,254052,101345,288.14,0.0986063,0.0281713,0,
-1.96667,-0.00793323,1.22526,41.1135,4.72542e-06,254052,101345,288.14,0.0986063,0.0281723,0,
-1.96667,-0.00475994,1.22526,41.1135,7.81215e-06,254052,101345,288.14,0.0986063,0.0281733,0,
-1.96667,-0.00158665,1.22526,41.1135,8.66807e-06,254052,101345,288.14,0.0986063,0.0281725,0,
-1.96667,0.00158665,1.22526,41.1135,9.52399e-06,254052,101345,288.14,0.0986064,0.0281717,0,
-1.96667,0.00475994,1.22526,41.1135,1.03799e-05,254052,101345,288.14,0.0986064,0.0281708,0,
-1.96667,0.00793323,1.22526,41.1135,1.08873e-05,254052,101345,288.14,0.0986065,0.0281702,0,
-1.96667,0.0111065,1.22526,41.1136,1.0834e-05,254052,101345,288.14,0.0986065,0.02817,0,
-1.96667,0.0142798,1.22526,41.1136,1.46575e-05,254052,101345,288.14,0.0986066,0.0281694,0,
-1.96667,0.0174531,1.22526,41.1136,2.06309e-05,254052,101345,288.14,0.0986066,0.0281685,0,
-1.96667,0.0206264,1.22526,41.1136,2.66044e-05,254052,101345,288.14,0.0986067,0.0281677,0,
-1.96667,0.0237997,1.22526,41.1137,3.30176e-05,254052,101345,288.14,0.0986067,0.028168,0,
-1.96667,0.026973,1.22526,41.1137,3.96233e-05,254052,101345,288.14,0.0986068,0.0281687,0,
-1.96667,0.0301463,1.22526,41.1137,4.65276e-05,254052,101345,288.14,0.0986068,0.0281695,0,
-1.96667,0.0333196,1.22526,41.1137,6.09126e-05,254052,101345,288.14,0.0986068,0.0281699,0,
-1.96667,0.0364929,1.22526,41.1137,7.51178e-05,254052,101345,288.14,0.0986068,0.0281704,0,
-1.96667,0.0396662,1.22526,41.1137,8.41018e-05,254052,101345,288.14,0.0986068,0.0281714,0,
-1.96667,0.0428395,1.22526,41.1137,9.30859e-05,254052,101345,288.14,0.0986068,0.0281725,0,
-1.96667,0.0460127,1.22526,41.1137,0.00010207,254052,101345,288.14,0.0986067,0.0281735,0,
-1.96667,0.049186,1.22526,41.1137,0.000111458,254052,101345,288.14,0.0986067,0.0281722,0,
-1.96667,0.0523593,1.22526,41.1137,0.000121036,254052,101345,288.14,0.0986067,0.0281699,0,
-1.96667,0.0555326,1.22526,41.1136,0.000130615,254052,101345,288.14,0.0986067,0.0281676,0,
-1.96667,0.0587059,1.22526,41.1136,0.000140193,254052,101345,288.14,0.0986067,0.0281653,0,
-1.96667,0.0618792,1.22526,41.1136,0.000148963,254052,101345,288.14,0.0986067,0.0281632,0,
-1.96667,0.0650525,1.22526,41.1136,0.000155897,254052,101345,288.14,0.0986066,0.0281614,0,
-1.96667,0.0682258,1.22526,41.1136,0.000156861,254052,101345,288.14,0.0986066,0.0281603,0,
-1.96667,0.0713991,1.22526,41.1136,0.000154259,254052,101345,288.14,0.0986065,0.0281603,0,
-1.96667,0.0745724,1.22526,41.1136,0.000151657,254052,101345,288.14,0.0986065,0.0281602,0,
-1.96667,0.0777457,1.22526,41.1135,0.000149055,254052,101345,288.14,0.0986064,0.0281602,0,
-1.96667,0.080919,1.22526,41.1135,0.000146453,254052,101345,288.14,0.0986064,0.0281601,0,
-1.96667,0.0840923,1.22526,41.1135,0.000139601,254052,101345,288.14,0.0986063,0.0281593,0,
-1.96667,0.0872656,1.22526,41.1135,0.000131088,254052,101345,288.14,0.0986062,0.0281582,0,
-1.96667,0.0904389,1.22526,41.1134,0.000122574,254052,101345,288.14,0.0986061,0.0281571,0,
-1.96667,0.0936121,1.22526,41.1134,0.000115215,254052,101345,288.14,0.0986061,0.0281563,0,
-1.96667,0.0967854,1.22526,41.1134,0.000111635,254052,101345,288.14,0.098606,0.0281565,0,
-1.96667,0.0999587,1.22526,41.1133,0.000102915,254052,101345,288.14,0.098606,0.0281566,0,
-1.96667,0.103132,1.22526,41.1133,8.90627e-05,254052,101345,288.14,0.0986059,0.0281566,0,
-1.96667,0.106305,1.22526,41.1133,7.52102e-05,254052,101345,288.14,0.0986059,0.0281566,0,
-1.96667,0.109479,1.22526,41.1133,6.13577e-05,254052,101345,288.14,0.0986059,0.0281566,0,
-1.96667,0.112652,1.22526,41.1133,5.87091e-05,254052,101345,288.14,0.0986059,0.0281538,0,
-1.96667,0.115825,1.22526,41.1134,5.75651e-05,254052,101345,288.14,0.098606,0.0281507,0,
-1.96667,0.118998,1.22526,41.1134,5.6421e-05,254052,101345,288.14,0.0986061,0.0281476,0,
-1.96667,0.122172,1.22526,41.1134,5.54796e-05,254052,101345,288.14,0.0986061,0.0281446,0,
-1.96667,0.125345,1.22526,41.1134,6.0492e-05,254052,101345,288.14,0.0986062,0.0281442,0,
-1.96667,0.128518,1.22526,41.1135,6.4286e-05,254052,101345,288.14,0.0986063,0.0281436,0,
-1.96667,0.131692,1.22526,41.1136,6.5761e-05,254052,101345,288.14,0.0986065,0.0281422,0,
-1.96667,0.134865,1.22526,41.1136,6.7236e-05,254052,101345,288.14,0.0986067,0.0281408,0,
-1.96667,0.138038,1.22526,41.1137,6.8711e-05,254052,101345,288.14,0.0986069,0.0281394,0,
-1.96667,0.141212,1.22526,41.1138,6.88291e-05,254052,101345,288.14,0.0986071,0.0281389,0,
-1.96667,0.144385,1.22526,41.1139,5.77912e-05,254052,101345,288.14,0.0986073,0.028139,0,
-1.96667,0.147558,1.22526,41.114,3.05806e-05,254052,101345,288.14,0.0986075,0.0281392,0,
-1.96667,0.150731,1.22526,41.1141,3.37001e-06,254052,101345,288.14,0.0986077,0.0281393,0,
-1.96667,0.153905,1.22526,41.1141,-2.38406e-05,254052,101345,288.14,0.0986079,0.0281394,0,
-1.96667,0.157078,1.22526,41.1142,-5.10512e-05,254052,101345,288.14,0.0986081,0.0281395,0,

-1.93333,-0.157078,1.22526,41.1141,-0.000154423,254053,101345,288.14,0.0986075,0.0285938,0,
-1.93333,-0.153905,1.22526,41.114,-0.000140134,254053,101345,288.14,0.0986073,0.0285963,0,
-1.93333,-0.150731,1.22526,41.1139,-0.000125845,254053,101345,288.14,0.0986071,0.0285988,0,
-1.93333,-0.147558,1.22526,41.1138,-0.000111556,254053,101345,288.14,0.0986069,0.0286013,0,
-1.93333,-0.144385,1.22526,41.1137,-9.72674e-05,254053,101345,288.14,0.0986066,0.0286038,0,
-1.93333,-0.141212,1.22526,41.1136,-8.60103e-05,254053,101345,288.14,0.0986064,0.0286053,0,
-1.93333,-0.138038,1.22526,41.1136,-6.41024e-05,254053,101345,288.14,0.0986063,0.0286038,0,
-1.93333,-0.134865,1.22526,41.1135,-4.02119e-05,254053,101345,288.14,0.0986061,0.0286022,0,
-1.93333,-0.131692,1.22526,41.1134,-1.63213e-05,254053,101345,288.14,0.0986059,0.0286006,0,
-1.93333,-0.128518,1.22526,41.1134,7.56917e-06,254053,101345,288.14,0.0986058,0.028599,0,
-1.93333,-0.125345,1.22526,41.1133,3.01596e-05,254053,101345,288.14,0.0986056,0.0285975,0,
